epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,95.1665,0.82486,0.69048,0.26851,0.67864,1.48528,0.9705,0.96429,0.99397,0.75862,0.9705,0.96429,0.99397,0.76823,0.73674,0.80807,0.16342,1.07046,1.36155,0.008218,0.008218,0.008218
29,98.212,0.88605,0.70726,0.27073,0.70219,1.49991,0.89166,1,0.98711,0.70989,0.90023,0.96688,0.9896,0.82352,0.85386,0.69921,0.04482,0.95498,1.40645,0.008152,0.008152,0.008152
30,101.367,0.87681,0.73187,0.30625,0.72641,1.5259,0.93259,1,0.99259,0.79119,0.89868,0.96429,0.95267,0.75883,0.68567,0.84884,0.04932,0.81616,1.25364,0.008086,0.008086,0.008086
31,104.466,0.80032,0.60379,0.22831,0.6814,1.47416,0.81883,0.89286,0.92703,0.45753,0.81883,0.89286,0.94337,0.78495,1.46437,0.83997,0.34816,2.78187,2.18713,0.00802,0.00802,0.00802
32,107.55,0.80852,0.64354,0.28445,0.67306,1.46449,0.93642,0.92857,0.96113,0.67932,0.93118,1,0.99155,0.80114,0.80548,0.71932,0.16891,1.35736,1.42385,0.007954,0.007954,0.007954
33,110.644,0.80073,0.52101,0.28453,0.68487,1.45909,0.92487,0.96429,0.97592,0.75895,0.8857,0.92857,0.93602,0.81527,0.8208,0.78972,0.16194,1.14326,1.4963,0.007888,0.007888,0.007888
34,113.751,0.86063,0.58422,0.26764,0.68213,1.48969,0.75737,0.89188,0.86106,0.49104,0.81704,0.95708,0.9266,0.78238,1.24584,0.62301,0.08605,1.66415,2.12794,0.007822,0.007822,0.007822
35,116.864,0.82719,0.50992,0.24377,0.66642,1.5034,0.96336,0.93939,0.99067,0.82207,0.96336,0.93939,0.99067,0.77016,0.72195,0.92436,0.08523,1.04878,1.40661,0.007756,0.007756,0.007756
36,120.036,0.84165,0.60612,0.28644,0.64996,1.51425,0.70315,0.89286,0.86508,0.64604,0.70315,0.89286,0.86508,0.795,0.82069,0.49793,0.07934,1.98646,1.36907,0.00769,0.00769,0.00769
37,123.058,0.72504,0.51663,0.26301,0.59439,1.37539,0.93292,0.96429,0.98982,0.80092,0.93292,0.96429,0.98982,0.61036,0.76466,1.47107,0.40501,1.62881,1.57923,0.007624,0.007624,0.007624
